Datum;Cas od;Cas do;859182400312449370-859182400306241157;859182400312449370-859182400604806744;859182400611509249-859182400302838511
05.06.2025;21:15;21:30;0,0;0,0;0,01;
05.06.2025;21:30;21:45;0,0;0,0;0,01;
05.06.2025;21:45;22:00;0,0;0,0;0,02;
05.06.2025;22:00;22:15;0,0;0,0;0,01;
05.06.2025;22:15;22:30;0,0;0,0;0,01;
05.06.2025;22:30;22:45;0,0;0,0;0,02;
05.06.2025;22:45;23:00;0,0;0,0;0,01;
05.06.2025;23:00;23:15;0,0;0,0;0,01;
05.06.2025;23:15;23:30;0,0;0,0;0,01;
05.06.2025;23:30;23:45;0,0;0,0;0,02;
05.06.2025;23:45;00:00;0,0;0,0;0,01;
06.06.2025;00:00;00:15;0,0;0,0;0,01;
06.06.2025;00:15;00:30;0,0;0,0;0,02;
06.06.2025;00:30;00:45;0,0;0,0;0,01;
06.06.2025;00:45;01:00;0,0;0,0;0,02;
06.06.2025;01:00;01:15;0,0;0,0;0,01;
06.06.2025;01:15;01:30;0,0;0,0;0,02;
06.06.2025;01:30;01:45;0,0;0,0;0,02;
06.06.2025;01:45;02:00;0,0;0,0;0,01;
06.06.2025;02:00;02:15;0,0;0,0;0,01;
